ID,label,sex,age,edu_lv,credit_rec,inc,loan_suc,repay_suc,repay_time,dlqin0,loan_position,remen_mun,max_loan,max_debt
7095,0,1,48,1,2,4,9,41,39,2,30152,7623.47,5800,13833.2
7096,0,0,29,1,2,2,0,0,0,0,0,0,0,0
7097,0,1,27,2,1,5,4,21,17,3,27670,2782.28,10600,12613.85
7098,0,1,26,1,2,4,9,42,37,5,22261,0,3651,17571.86
7099,0,1,33,1,2,2,1,3,3,0,6400,3775.77,6400,7551.54
7100,0,1,29,1,2,3,8,55,48,7,9498,2126.24,1880,5315.24
7101,0,0,28,1,2,3,1,2,2,0,6000,6777.9,6000,8133.48
7102,0,1,30,1,2,5,6,22,21,1,9300,0,4500,4989.24
7103,0,1,24,1,2,3,2,9,7,2,4000,792.72,2000,2538.15
7104,0,1,45,1,2,4,5,28,28,0,16631,3688,5582,8544.29
7105,0,0,22,1,2,3,8,62,61,1,10868,1006.32,3500,5484.82
7106,0,1,31,3,2,5,2,15,5,10,9383,0,8100,9618.47
7107,0,1,22,1,2,2,1,1,1,0,1000,0,1000,0
7108,0,1,22,1,2,3,1,3,3,0,500,0,500,607.5
7109,1,1,29,1,2,3,9,95,77,17,12100,969.63,3000,5567.41
7110,0,1,32,1,2,4,5,33,28,5,9290,0,3497,5162.83
7111,0,1,25,1,2,4,1,4,4,0,4000,3478.8,4000,5439.84
7112,0,1,19,1,2,3,15,69,67,2,19282,6212.06,3000,7027.47
7113,0,1,27,1,2,3,1,6,6,0,2000,1329.72,2000,2719.44
7114,0,1,28,1,2,4,1,2,2,0,1000,786.64,1000,1179.96
7115,0,0,36,1,2,2,8,54,48,6,17798,4836.42,5600,7866.54
7116,0,1,23,1,2,3,8,41,32,9,9350,1889.15,2031,4922.71
7117,0,1,25,1,2,1,19,116,111,5,38288,10849.46,4962,17161.97
7118,0,1,27,1,2,3,3,21,19,1,6738,0,3700,5725.42
7119,0,0,28,2,2,3,20,164,164,0,67838,14856.12,9710,20647.44
7120,0,1,36,1,2,3,7,47,46,1,7863,2035.08,2063,4653.1
7121,1,1,30,1,2,3,5,32,27,4,13500,6809.37,4000,8255.4
7122,0,1,20,1,2,2,0,0,0,0,0,0,0,0
7123,0,0,26,1,2,3,8,58,58,0,12095,842.34,3900,8874.34
7124,0,0,24,1,2,3,4,17,5,12,7218,1068.04,2797,4713
7125,0,1,26,1,1,4,15,112,112,0,31578,9904.11,4000,11998.68
7126,0,0,23,1,2,3,2,11,9,1,4200,0,2100,2369.49
7127,0,1,34,1,2,3,1,3,3,0,2000,0,2000,2578.68
7128,0,1,27,3,1,5,12,86,65,19,31132,0,7500,10381.95
7129,0,1,33,2,2,3,21,83,68,15,61612,6648,8250,10524.19
7130,1,1,31,2,2,2,1,10,6,2,1000,0,1000,777.94
7131,0,1,24,1,2,2,2,24,24,0,7000,0,4000,4446.36
7132,0,0,32,1,2,1,1,5,5,0,5000,3805.55,5000,6798.8
7133,0,1,26,1,2,2,3,21,19,1,5259,734.52,2121,3475.82
7134,0,1,33,2,2,3,0,0,0,0,0,0,0,0
7135,0,0,46,1,2,4,0,0,0,0,0,0,0,0
7136,0,1,31,1,2,4,1,3,2,1,3500,0,3500,4264.08
